Κωδικός Τμήματος,Σχολή,link,Πόλη,Πεδία,Εισακτέοι,Βάση 2025,"Συντελεστής Ε.Β.Ε,",Ε.Β.Ε.,Συντελεστής Ε.Β.Ε. Ειδικών μαθημάτων,Ε.Β.Ε. Ειδικών μαθημάτων
97,"Οικονομικών Επιστημών, ΔΠΘ",http://www.duth.gr/,Κομοτηνή,IV,266,9696,0.90,09.45,,
98,"Πληροφορικής & Τηλεπικοινωνιών, Πελοποννήσου",http://www.uop.gr/,Τρίπολη,"II,IV",195,11550,1.10,11.55,,
99,"Πληροφορικής & Τηλεπικοινωνιών, Θεσσαλίας",http://www.uth.gr/,Λαμία,"II,IV",243,10500,1.00,10.50,,
124,"Δημόσιας Διοίκησης, Παντείου",http://www.panteion.gr/,Αθήνα,"I,IV",254,13075,1.20,12.60,,
128,"Παιδαγωγικό Δημοτικής Εκπ/σης, ΕΚΠΑ",http://www.uoa.gr/,Αθήνα,"I,II,III,IV",162,16250,1.20,12.60,,
130,"Παιδαγωγικό Δημοτικής Εκπ/σης, Ιωαννίνων",http://www.uoi.gr/,Ιωάννινα,"I,II,III,IV",206,14575,1.00,10.50,,
132,"Παιδαγωγικό Δημοτικής Εκπ/σης, Κρήτης",http://www.uoc.gr/,Ρέθυμνο,"I,II,III,IV",166,13375,1.00,10.50,,
134,"Επιστημών Προσχολικής Αγωγής & Εκπ/σης, ΑΠΘ",http://www.auth.gr/,Θεσσαλονίκη,"I,II,III,IV",120,13875,0.80,08.40,,
136,"Επιστημών της Εκπαίδευσης & της Αγωγής στην Προσχολική Ηλικία, Πατρών",http://www.upatras.gr/,Πάτρα,"I,II,III,IV",138,13000,0.90,09.45,,
140,"Παιδαγωγικό Δημοτικής Εκπ/σης, ΑΠΘ",http://www.auth.gr/,Θεσσαλονίκη,"I,II,III,IV",162,15950,0.80,08.40,,
142,"Παιδαγωγικό Δημοτικής Εκπ/σης, ΔΠΘ",http://www.duth.gr/,Αλεξ/πολη,"I,II,III,IV",218,13000,0.80,08.40,,
143,"Παιδαγωγικό Δημοτικής Εκπ/σης, Αιγαίου",http://www.aegean.gr/,Ρόδος,"I,II,III,IV",309,11875,0.80,08.40,,
144,"Οικονομίας & Βιώσιμης Ανάπτυξης, Χαροκοπείου",http://www.hua.gr/,Αθήνα,IV,71,12556,1.10,11.55,,
150,"Διεθνών & Ευρωπαϊκών Οικονομικών Σπουδών, Ο.Π.Α.",http://www.aueb.gr/,Αθήνα,IV,108,15150,1.20,12.60,,
152,"Οικονομικής & Περιφερειακής Ανάπτυξης, Παντείου",http://www.panteion.gr/,Αθήνα,IV,188,12675,1.20,12.60,,
154,"Εκπαίδευσης & Αγωγής στην Προσχολική Ηλικία, ΕΚΠΑ",http://www.uoa.gr/,Αθήνα,"I,II,III,IV",95,14800,0.80,08.40,,
155,"Χρηματοοικονομικής & Τραπεζικής Διοικητικής, Πειραιά",http://career.unipi.gr/,Πειραιάς,"II,IV",152,14850,1.20,12.60,,
